Material - Material Number (Key),Material - Text,Material - Material Group (Key),Material - Material Group (Text),SCHC 1 - Key,SCHC 1 - Text,Storage Location - Key (Not Compounded),Storage Location,Storage Type - Key,Storage Bin - Key,Storage Bin Type - Key (Not Compounded),Stock material - Blocked Stock (Key),Stock material - In Quality Insp. (Key),Stock material - Unrestr.-use Stock (Key),Total Stock,Material - CFSS UOI (Key),Material - CFSS UOI (Text),Technical Auth. Code - Key,Technical Auth. Code - TA Environment (Text),SMC - Key,SMC - Desc. Purch. Group (Key),GR Date - Key,Material - CFSS UOI Price (Key),Material - Lead IMA (Key),Material - Stock Type (Supply) (Key),Material - Lead IMA (Text),Material - Stock Classification (Key),Material - Stock Classification (Text),Material - DMC (Key),Material - DMC (Text),Material - Repair Code (Key),Material - Repair Code (Text),CC Physical Inventor - Key (Not Compounded),Last Inventory Date - Key,Quant - Key,Last Movement Date,Status,Mat Hlth Cat,Mat Hlt Sub Cat,Mat Hlth Sub Sub Cat,Tranche 1?,Storage Location Group,Last Demand Year,Assigned Year,Line Value,Price,Blocked,Quality Inspection,Lead EPM,Mark As Hazmat,Storage Medium,Size factor,Storage Bin,Count,Cubic Metres,25 CFSD Bin Structure,Transit Bin,Robot Message,Sheet
21-AAD5608:NSN,CZ PISTOL,9999,Misc Items,J,SECURE STORAGE REQUIRED,000G,25CFSD VLT DS,VCA,TRIWALL22,41,0.000 EA,0.000 EA,1.000 EA,1,EA,each,NSTC,Not assigned,LOC,LOC MANAGED ITEMS,12/1/2021,999.99 CAD,1X,X,SUBMIT OFFLINE BY E-MAIL TO SM,E,CONTROLLED EQPT,Q,Non-controlled good/Demil not required,A,NON-REPAIRABLE,C,#,5007194,12/1/2021,Success,,,,,,,2002,,,,,No EPM,,1. Shelving,0.1,,,,,,,
21-AAT7143:NSN,BUSS FUSES,5920,Fuses/Arresters/Abso,#,Not assigned,3,25CFSD SERV,SHA,112Q151E,6,0.000 EA,0.000 EA,5.000 EA,5,EA,each,NSTC,Not assigned,LOC,LOC MANAGED ITEMS,5/26/2021,0.01 CAD,1B,O,ITEM UNDER REVIEW FOR SURPLUS,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,4724445,5/26/2021,Success,,,,,,,2003,,,,,No EPM,,1. Shelving,0.1,,,,,,,
99-2578954:NSN,BOX ASSEMBLY,4920,Aircraft Maint Eqp,#,Not assigned,3,25CFSD SERV,SHA,102Z154K,6,0.000 EA,0.000 EA,2.000 EA,1,EA,each,NSTC,Not assigned,50G,(A) DAP 5-3-2-2-2,10/3/2013,"1,519.72 CAD",4N,X,CENTRALIZED MGMT-NORMAL DMND PROCESSING,A,ACCOUNTABLE STORES,Q,Non-controlled good/Demil not required,A,NON-REPAIRABLE,G,4/30/2021,772805,10/3/2013,Success,,,,,,,2003,,,,,No EPM,,1. Shelving,0.1,,,,,,,
00-0269732:NSN,"NUT,PLAIN,PLATE",5310,Nuts/Washers,Q,Q,3,25CFSD SERV,SHA,122H152D,6,0.000 EA,0.000 EA,2.000 EA,2,EA,each,L670,DGLEPM,35E,(L) DLP 6-3-3-3C,5/13/2021,14.80 CAD,4P,X,NATIONALLY MANAGED/LOCALLY PROCURED,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,4716890,5/13/2021,Success,,,,,,,2000,,,,,DGLEPM,,1. Shelving,0.1,,,,,,,
00-0274028:NSN,"BEARING,BALL,AIRFRAME",3110,"Bearings, Antifricti",Q,Q,3,25CFSD SERV,SHA,114AC154K,6,0.000 EA,0.000 EA,132.000 EA,114,EA,each,A801,DGAEPM,LOC,LOC MANAGED ITEMS,10/2/2013,26.79 CAD,4P,X,NATIONALLY MANAGED/LOCALLY PROCURED,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,1447821,7/20/2016,Success,,,,,,,1972,,,,,DGAEPM,,1. Shelving,0.1,,,,,,,
00-0274028:NSN,"BEARING,BALL,AIRFRAME",3110,"Bearings, Antifricti",Q,Q,3,25CFSD SERV,SHA,132U124D,6,0.000 EA,0.000 EA,132.000 EA,18,EA,each,A801,DGAEPM,LOC,LOC MANAGED ITEMS,10/2/2013,26.79 CAD,4P,X,NATIONALLY MANAGED/LOCALLY PROCURED,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,1447604,4/22/2022,Success,,,,,,,,,,,,,,,,,,,,,,
00-0445026:NSN,"LAMP,INCANDESCENT",6240,Electric Lamps,#,Not assigned,3,25CFSD SERV,SHA,132H146E,6,0.000 EA,0.000 EA,3.000 EA,3,EA,each,TBD,COMMMON,37D,(L) DLP 6-3-6C,10/2/2013,1.45 CAD,4P,X,NATIONALLY MANAGED/LOCALLY PROCURED,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,7/13/2021,4793380,7/13/2021,Success,,,,,,,1971,,,,,DGLEPM,,1. Shelving,0.1,,,,,,,
00-0453299:NSN,"WASHER,LOCK",5310,Nuts/Washers,Q,Q,3,25CFSD SERV,SHA,178S184B,6,0.000 EA,0.000 EA,44.000 EA,44,HD,Hundred,L33P,DGLEPM,35E,(L) DLP 6-3-3-3C,1/14/2016,1.00 CAD,4P,X,NATIONALLY MANAGED/LOCALLY PROCURED,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,2164770,11/20/2018,Success,,,,,,,1968,,,,,DGLEPM,,1. Shelving,0.1,,,,,,,
00-0510827:NSN,"SCREW,CAP,HEXAGON HEAD",5305,Screws,#,Not assigned,3,25CFSD SERV,SHA,152F099A,6,0.000 EA,0.000 EA,4.000 EA,4,EA,each,L670,DGLEPM,35E,(L) DLP 6-3-3-3C,10/2/2013,2.50 CAD,4P,X,NATIONALLY MANAGED/LOCALLY PROCURED,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,99399,10/2/2013,Success,,,,,,,1968,,,,,DGLEPM,,1. Shelving,0.1,,,,,,,
00-0032924:NSN,"BRACKET,ANGLE",5340,"Hardware, Commercial",#,Not assigned,3,25CFSD SERV,SHA,156N108C,6,32.000 EA,0.000 EA,0.000 EA,32,EA,each,A576,DGAEPM,57W,(A)DAP233C/PGS/T56,10/2/2013,1.86 CAD,1B,P,ITEM UNDER REVIEW FOR SURPLUS,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,3365475,6/4/2018,Success,,,,,,,1979,,,,,DGAEPM,,1. Shelving,0.1,,,,,,,
